City,Country,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed
ibra,OM,22.69,58.53,86.16,50,100,1.68
filiates,GR,39.6,20.31,71.6,68,40,2.66
lasa,IT,46.62,10.7,50,100,40,4.7
beroroha,MG,-21.67,45.17,62.64,70,13,5.64
kungalv,SE,57.87,11.98,51.01,94,10,0.36
upington,ZA,-28.45,21.26,37.4,37,0,5.82
axim,GH,4.87,-2.24,73.94,85,100,8.37
artyk,NA,NA,NA,NA,NA,NA,NA
fremont,US,37.55,-121.99,82,53,1,14.99
tiarei,PF,-17.53,-149.33,78.8,83,75,8.05
onokhoy,RU,51.93,108.07,62.6,67,90,11.18
ayan,RU,56.45,138.17,58.6,85,100,12.39
okakarara,NA,-20.58,17.43,34.81,71,0,6.6
mustvee,EE,58.85,26.94,55,81,100,4.7
jiuquan,CN,39.74,98.52,75.13,26,100,7.92
kamenka,RU,51.32,42.77,57,80,9,1.99
bartica,GY,6.4,-58.62,78.8,94,20,4.7
nizhneyansk,NA,NA,NA,NA,NA,NA,NA
atambua,ID,-9.11,124.89,78.67,56,89,6.38
muriwai beach,NZ,-36.82,174.45,59,96,98,5.01
lorengau,PG,-2.02,147.27,85.03,63,0,6.62
haines junction,CA,60.75,-137.51,64.92,42,70,8.77
poya,NC,-21.35,165.15,73.69,46,5,8.12
longyearbyen,SJ,78.22,15.64,44.6,81,75,2.24
la asuncion,VE,11.03,-63.86,71.6,100,20,12.75
avondale,US,33.44,-112.35,109.99,15,5,5.82
cayenne,GF,4.93,-52.33,78.8,94,33,2.24
fairbanks,US,64.84,-147.72,73.99,35,40,13.87
acajutla,SV,13.59,-89.83,69.8,100,40,3
nizwa,OM,22.93,57.53,87.19,42,35,0.22
trat,TH,12.5,102.5,81.41,80,72,2.98
suaza,CO,1.98,-75.79,66.11,86,100,3.49
yakeshi,CN,49.28,120.73,79.97,52,100,5.01
ambilobe,MG,-13.2,49.05,66.72,88,50,2.15
iqaluit,CA,63.75,-68.51,62.6,36,20,3.36
ciudad guayana,VE,8.35,-62.65,76.62,87,100,6.8
chukhloma,RU,58.75,42.68,55.85,98,2,6.93
sorland,NO,67.67,12.69,55.09,85,100,1.14
henties bay,NA,-22.12,14.28,73,16,0,4
bathsheba,BB,13.22,-59.52,82.4,74,20,12.75
namibe,AO,-15.2,12.15,64.49,85,0,8.59
ishigaki,JP,24.34,124.16,87.8,79,75,24.16
galesong,ID,-5.32,119.37,80.6,83,20,3.36
berlevag,NO,70.86,29.09,54.54,70,52,13.29
jizan,SA,17.33,42.67,89.6,70,40,4.7
nguiu,NA,NA,NA,NA,NA,NA,NA
clarksdale,US,34.2,-90.57,89.6,70,65,9.8
petropavlovskoye,RU,52.07,84.11,58.06,80,26,7.56
north bend,US,43.41,-124.22,82,82,75,26.4
raudeberg,NO,61.99,5.14,55.4,93,1,2.21
aklavik,CA,68.22,-135.01,64.4,55,75,4.7
liverpool,GB,53.41,-2.98,59,93,75,11.41
shawnee,US,39.05,-95.77,82.4,65,20,9.17
muzaffarabad,PK,34.37,73.47,73.99,66,100,6.38
nukus,UZ,42.45,59.61,75.2,41,0,6.93
khorramshahr,IR,30.44,48.17,87.8,38,0,4.7
athabasca,CA,54.72,-113.29,69.21,68,21,8.37
praia da vitoria,PT,38.73,-27.07,69.8,77,75,11.05
sinkat,NA,NA,NA,NA,NA,NA,NA
bakchar,RU,57.02,82.07,64.65,65,75,8.28
sola,VU,-13.88,167.55,84.2,74,20,5.82
shimoda,JP,34.67,138.95,69.8,88,75,10.29
oktyabrskiy,RU,54.48,53.47,70.41,86,64,1.63
baykit,RU,61.67,96.37,56.28,60,34,9.42
savonlinna,FI,61.87,28.88,50,93,100,4.7
kontagora,NG,10.4,5.47,71.56,95,100,5.08
souillac,MU,-20.52,57.52,68,88,75,11.41
celestun,MX,20.87,-90.4,85.93,72,0,16.49
oranjemund,NA,-28.55,16.43,59.4,33,0,15.79
maceio,BR,-9.67,-35.74,73.4,88,75,8.05
maniwaki,CA,46.38,-75.97,67.05,79,100,5.66
manaure,CO,11.78,-72.44,80.8,76,0,17.96
tateyama,JP,34.98,139.87,72,88,75,10.29
miranorte,NA,NA,NA,NA,NA,NA,NA
